place_id,name,latitude,longitude,Main_category,categories,rating,address
ChIJ-Ztdy_V544kRpsP0LaXNbkk,CrimsonBikes Giant Boston,42.3445517,-71.1005525,Health,"bicycle_store,clothing_store,store,point_of_interest,establishment,",4.1,"11 Kilmarnock Street, Boston"
ChIJ-ZXC29SC44kRvClbRHtmlO0,Waltham Fire Department,42.3824334,-71.2362688,Community,"fire_station,point_of_interest,establishment,",5,"175 Lexington Street, Waltham"
ChIJ0_JOhpCj44kRPdg6k3eQf5Q,Showcase Cinemas Lowell,42.6107286,-71.3230595,Community,"movie_theater,point_of_interest,establishment,",4.3,"32 Reiss Avenue, Lowell"
ChIJ0_vHelp544kRcYMPilD_LRA,Forest Hills Cemetery,42.2948727,-71.1056623,Community,"cemetery,point_of_interest,establishment,",4.7,"95 Forest Hills Ave, Jamaica Plain"
ChIJ0-1sUjRj44kRoej3d0v4-6M,Quincy Fire Department,42.2447322,-70.9985027,Community,"fire_station,point_of_interest,establishment,",5,"40 Quincy Avenue, Quincy"
ChIJ0-lF5MN544kR9puEdeDvxAM,Clear Flour Bakery,42.350031,-71.126145,Health,"bakery,store,food,point_of_interest,establishment,",4.8,"178 Thorndike Street, Brookline"
ChIJ03sbO51w44kRBFwu4_-h98c,Empire Beauty School,42.3546652,-71.0626964,Community,"beauty_salon,hair_care,spa,point_of_interest,establishment,",3.7,"30 West Street, Boston"
ChIJ05goea9z44kR5CO4bg8nsiY,Melrose-Wakefield Hospital,42.4599824,-71.0610669,Health,"hospital,point_of_interest,establishment,",2.8,"585 Lebanon Street, Melrose"
ChIJ05lekXR644kR0-FHVHlfGqg,Invictus Boston Back Bay,42.3511341,-71.0710915,Health,"physiotherapist,gym,health,point_of_interest,establishment,",4.4,"31 Saint James Avenue, Boston"
ChIJ05lekXR644kR0-FHVHlfGqg,Invictus Boston Back Bay,42.3511341,-71.0710915,Health,"physiotherapist,gym,health,point_of_interest,establishment,",4.4,"31 Saint James Avenue, Boston"
ChIJ0696ai9344kRhjoZK0M2ZTY,Benedictus Contracting,42.3928443,-71.1079246,Finance,"roofing_contractor,point_of_interest,establishment,",3,"17 Princeton Street, Somerville"
ChIJ07HIbKYW44kRFT-LZ7KVnm0,Harmony Home Theater,42.5555246,-70.8936828,Community,"movie_theater,point_of_interest,establishment,",4.5,"269 Elliott St, Beverly, Ma 01915, Beverly"
ChIJ0anVLN9h44kRBl9ZHbdJu8M,Rite Aid,42.171117,-70.876687,Health,"pharmacy,convenience_store,store,health,food,point_of_interest,establishment,",3,"119 Washington Street, Norwell"
ChIJ0b-JS-J344kR0z5ZpgbqKyY,Belmont Wheelworks,42.3871943,-71.1892711,Health,"bicycle_store,store,point_of_interest,establishment,",3.9,"480 Trapelo Road, Belmont"
ChIJ0d-eHXl644kR-9gAty9Z068,South Street Diner,42.3498337,-71.057746,Health,"bakery,store,restaurant,food,point_of_interest,establishment,",4,"178 Kneeland Street, Boston"
ChIJ0dtrA42I44kR74pVHwm98ak,Bankers Life,42.3899525,-71.2576012,Finance,"insurance_agency,point_of_interest,establishment,",5,"300 5th Avenue Ste 6010, Waltham"
ChIJ0em5sUKX5IkRKmm4AD46ipA,Maul's Bike Shop,41.9950893,-70.8444657,Health,"bicycle_store,store,point_of_interest,establishment,",5,"300 Plymouth Street, Halifax"
